wl,n
0.313,1.27474
0.314,1.27908
0.315,1.28330
0.316,1.28742
0.317,1.29141
0.318,1.29529
0.319,1.29905
0.320,1.30269
0.321,1.30621
0.322,1.30960
0.323,1.31287
0.324,1.31602
0.325,1.31905
0.326,1.32195
0.327,1.32472
0.328,1.32737
0.329,1.32988
0.330,1.33227
0.331,1.33452
0.332,1.33665
0.333,1.33864
0.334,1.34050
0.335,1.34223
0.336,1.34382
0.337,1.34528
0.338,1.34662
0.339,1.34782
0.340,1.34888
0.341,1.34982
0.342,1.35063
0.343,1.35131
0.344,1.35187
0.345,1.35229
0.346,1.35259
0.347,1.35277
0.348,1.35282
0.349,1.35275
0.350,1.35256
0.351,1.35224
0.352,1.35181
0.353,1.35126
0.354,1.35059
0.355,1.34981
0.356,1.34891
0.357,1.34790
0.358,1.34678
0.359,1.34554
0.360,1.34420
0.361,1.34275
0.362,1.34120
0.363,1.33954
0.364,1.33778
0.365,1.33591
0.366,1.33394
0.367,1.33188
0.368,1.32971
0.369,1.32745
0.370,1.32510
0.371,1.32265
0.372,1.32010
0.373,1.31747
0.374,1.31474
0.375,1.31192
0.376,1.30902
0.377,1.30603
0.378,1.30295
0.379,1.29979
0.380,1.29655
0.381,1.29323
0.382,1.28982
0.383,1.28633
0.384,1.28277
0.385,1.27913
0.386,1.27541
0.387,1.27162
0.388,1.26776
0.389,1.26382
0.390,1.25982
0.391,1.25575
0.392,1.25161
0.393,1.24741
0.394,1.24315
0.395,1.23882
0.396,1.23444
0.397,1.23000
0.398,1.22551
0.399,1.22096
0.400,1.21635
0.401,1.21170
0.402,1.20699
0.403,1.20223
0.404,1.19743
0.405,1.19258
0.406,1.18768
0.407,1.18273
0.408,1.17775
0.409,1.17272
0.410,1.16765
0.411,1.16253
0.412,1.15738
0.413,1.15219
0.414,1.14696
0.415,1.14170
0.416,1.13640
0.417,1.13106
0.418,1.12569
0.419,1.12028
0.420,1.11485
0.421,1.10938
0.422,1.10388
0.423,1.09836
0.424,1.09280
0.425,1.08722
0.426,1.08161
0.427,1.07597
0.428,1.07031
0.429,1.06464
0.430,1.05894
0.431,1.05323
0.432,1.04751
0.433,1.04179
0.434,1.03606
0.435,1.03034
0.436,1.02461
0.437,1.01889
0.438,1.01318
0.439,1.00749
0.440,1.00180
0.441,0.99613
0.442,0.99047
0.443,0.98484
0.444,0.97923
0.445,0.97364
0.446,0.96807
0.447,0.96253
0.448,0.95702
0.449,0.95154
0.450,0.94609
0.451,0.94067
0.452,0.93529
0.453,0.92995
0.454,0.92464
0.455,0.91936
0.456,0.91413
0.457,0.90894
0.458,0.90379
0.459,0.89868
0.460,0.89362
0.461,0.88860
0.462,0.88362
0.463,0.87870
0.464,0.87382
